task_id,task_type,pair_id,graph_A,graph_B,run_idx,question,expected_answer,expected_details,raw_answer,parsed_answer,predicted_answer,criterion_used,overall_correct,model,temperature,seed
S1_p1,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout better protects private spaces from exposure through shared or guest-facing spaces?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private spaces (bedrooms, bathroom) connect directly to hall without passing through living_room or dining_room; in Layout B, the hall connects directly to dining_room and kitchen, making it more guest-facing and exposing private spaces to more shared spaces along the path.""}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private spaces (bedrooms, bathroom) connect directly to hall without passing through living_room or dining_room; in Layout B, the hall connects directly to dining_room and kitchen, making it more guest-facing and exposing private spaces to more shared spaces along the path.""}",A,"In Layout A, private spaces (bedrooms, bathroom) connect directly to hall without passing through living_room or dining_room; in Layout B, the hall connects directly to dining_room and kitchen, making it more guest-facing and exposing private spaces to more shared spaces along the path.",0,claude-sonnet-4-6,0.2,42
S1_p2,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout gives private rooms less exposure to shared circulation or guest-facing areas?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private spaces (bedrooms, bathroom) connect only through hall, which is a single shared space buffer. In Layout B, private spaces also connect through hall, but hall itself connects directly to dining_room and kitchen (more guest-facing spaces), and sleeping_porch connects two bedrooms to each other but bedrooms still pass through hall which has more guest-facing adjacencies, giving private rooms more exposure to shared/guest-facing areas in B than in A.""}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private spaces (bedrooms, bathroom) connect only through hall, which is a single shared space buffer. In Layout B, private spaces also connect through hall, but hall itself connects directly to dining_room and kitchen (more guest-facing spaces), and sleeping_porch connects two bedrooms to each other but bedrooms still pass through hall which has more guest-facing adjacencies, giving private rooms more exposure to shared/guest-facing areas in B than in A.""}",A,"In Layout A, private spaces (bedrooms, bathroom) connect only through hall, which is a single shared space buffer. In Layout B, private spaces also connect through hall, but hall itself connects directly to dining_room and kitchen (more guest-facing spaces), and sleeping_porch connects two bedrooms to each other but bedrooms still pass through hall which has more guest-facing adjacencies, giving private rooms more exposure to shared/guest-facing areas in B than in A.",0,claude-sonnet-4-6,0.2,42
S1_p3,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout better avoids routing access to private spaces through shared spaces?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private spaces (bedrooms, bathroom) are accessed via hall directly from living_room without passing through dining_room or other shared spaces; the hall acts as a buffer. In Layout B, the hall is directly connected to dining_room and kitchen, making it more integrated with shared/guest-facing spaces, so private spaces connected to hall pass through more shared nodes. Layout A better isolates private spaces from shared/guest-facing spaces.""}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private spaces (bedrooms, bathroom) are accessed via hall directly from living_room without passing through dining_room or other shared spaces; the hall acts as a buffer. In Layout B, the hall is directly connected to dining_room and kitchen, making it more integrated with shared/guest-facing spaces, so private spaces connected to hall pass through more shared nodes. Layout A better isolates private spaces from shared/guest-facing spaces.""}",A,"In Layout A, private spaces (bedrooms, bathroom) are accessed via hall directly from living_room without passing through dining_room or other shared spaces; the hall acts as a buffer. In Layout B, the hall is directly connected to dining_room and kitchen, making it more integrated with shared/guest-facing spaces, so private spaces connected to hall pass through more shared nodes. Layout A better isolates private spaces from shared/guest-facing spaces.",0,claude-sonnet-4-6,0.2,42
S1_p4,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout keeps private spaces more separated from guest-facing paths?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private spaces (bedrooms, bathroom) are accessed only through the hall, which is one shared space removed from the living/dining areas, and the hall connects directly to private rooms without passing through additional guest-facing spaces. In Layout B, the hall connects directly to dining_room and kitchen in addition to bedrooms, making it more integrated with guest-facing paths and reducing separation of private spaces.""}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private spaces (bedrooms, bathroom) are accessed only through the hall, which is one shared space removed from the living/dining areas, and the hall connects directly to private rooms without passing through additional guest-facing spaces. In Layout B, the hall connects directly to dining_room and kitchen in addition to bedrooms, making it more integrated with guest-facing paths and reducing separation of private spaces.""}",A,"In Layout A, private spaces (bedrooms, bathroom) are accessed only through the hall, which is one shared space removed from the living/dining areas, and the hall connects directly to private rooms without passing through additional guest-facing spaces. In Layout B, the hall connects directly to dining_room and kitchen in addition to bedrooms, making it more integrated with guest-facing paths and reducing separation of private spaces.",0,claude-sonnet-4-6,0.2,42
S1_p5,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"Between Layout A and Layout B, which layout reduces the number of shared spaces someone passes through before reaching private rooms?",B,"{""answer"": ""B"", ""criterion"": ""lower average shared/guest-facing exposure on entry-to-private paths"", ""layout_A_score"": 2.0, ""layout_B_score"": 1.0, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_entry""], ""layout_A_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2""], ""layout_B_private_spaces"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""sleeping_porch""]}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private rooms (bed_room_1, bed_room_2, bath_room) are reached from a valid entry (front_porch) by passing through living_room then hall — only 2 shared spaces. In Layout B, the same private rooms require passing through living_room (or dining_room) and then hall — also 2 shared spaces, but Layout B's dining_room connects directly to hall, and the hall connects to more shared spaces, making the overall path complexity higher. Layout A's simpler, more direct routing through fewer shared spaces provides better private-space protection.""}","{""answer"": ""A"", ""criterion_used"": ""In Layout A, private rooms (bed_room_1, bed_room_2, bath_room) are reached from a valid entry (front_porch) by passing through living_room then hall — only 2 shared spaces. In Layout B, the same private rooms require passing through living_room (or dining_room) and then hall — also 2 shared spaces, but Layout B's dining_room connects directly to hall, and the hall connects to more shared spaces, making the overall path complexity higher. Layout A's simpler, more direct routing through fewer shared spaces provides better private-space protection.""}",A,"In Layout A, private rooms (bed_room_1, bed_room_2, bath_room) are reached from a valid entry (front_porch) by passing through living_room then hall — only 2 shared spaces. In Layout B, the same private rooms require passing through living_room (or dining_room) and then hall — also 2 shared spaces, but Layout B's dining_room connects directly to hall, and the hall connects to more shared spaces, making the overall path complexity higher. Layout A's simpler, more direct routing through fewer shared spaces provides better private-space protection.",0,claude-sonnet-4-6,0.2,42
S2_p1,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout is more efficient at reducing bottleneck effects in circulation?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""A"", ""criterion_used"": ""Layout A distributes circulation across multiple connectors (hall, dining_room, sun_room, living_room) reducing over-reliance on any single node, whereas Layout B funnels most movement through hall and living_room, creating stronger bottleneck concentration""}","{""answer"": ""A"", ""criterion_used"": ""Layout A distributes circulation across multiple connectors (hall, dining_room, sun_room, living_room) reducing over-reliance on any single node, whereas Layout B funnels most movement through hall and living_room, creating stronger bottleneck concentration""}",A,"Layout A distributes circulation across multiple connectors (hall, dining_room, sun_room, living_room) reducing over-reliance on any single node, whereas Layout B funnels most movement through hall and living_room, creating stronger bottleneck concentration",0,claude-sonnet-4-6,0.2,42
S2_p2,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout avoids concentrating movement through a single space more effectively?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""A"", ""criterion_used"": ""Layout A distributes movement across hall, living_room, and dining_room, while Layout B funnels nearly all circulation through hall and living_room, creating a stronger bottleneck at those nodes.""}","{""answer"": ""A"", ""criterion_used"": ""Layout A distributes movement across hall, living_room, and dining_room, while Layout B funnels nearly all circulation through hall and living_room, creating a stronger bottleneck at those nodes.""}",A,"Layout A distributes movement across hall, living_room, and dining_room, while Layout B funnels nearly all circulation through hall and living_room, creating a stronger bottleneck at those nodes.",0,claude-sonnet-4-6,0.2,42
S2_p3,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout distributes movement more evenly across the plan?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""A"", ""criterion_used"": ""Layout A distributes movement more evenly: the hall connects 6 nodes but kitchen, sun_room, and living_room form an alternative circulation loop, reducing over-reliance on the hall. In Layout B, the hall is the sole connector for nearly all spaces with no alternative paths, creating a stronger bottleneck.""}","{""answer"": ""A"", ""criterion_used"": ""Layout A distributes movement more evenly: the hall connects 6 nodes but kitchen, sun_room, and living_room form an alternative circulation loop, reducing over-reliance on the hall. In Layout B, the hall is the sole connector for nearly all spaces with no alternative paths, creating a stronger bottleneck.""}",A,"Layout A distributes movement more evenly: the hall connects 6 nodes but kitchen, sun_room, and living_room form an alternative circulation loop, reducing over-reliance on the hall. In Layout B, the hall is the sole connector for nearly all spaces with no alternative paths, creating a stronger bottleneck.",0,claude-sonnet-4-6,0.2,42
S2_p4,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout is less likely to create a circulation bottleneck?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""A"", ""criterion_used"": ""Layout A's hall connects 6 nodes but kitchen and living_room provide alternative circulation paths, distributing traffic more evenly; Layout B's hall connects 6 nodes including living_room directly, and living_room also connects bed_room_1 and dining_room, making both hall and living_room heavy bottlenecks with fewer bypass routes""}","{""answer"": ""A"", ""criterion_used"": ""Layout A's hall connects 6 nodes but kitchen and living_room provide alternative circulation paths, distributing traffic more evenly; Layout B's hall connects 6 nodes including living_room directly, and living_room also connects bed_room_1 and dining_room, making both hall and living_room heavy bottlenecks with fewer bypass routes""}",A,"Layout A's hall connects 6 nodes but kitchen and living_room provide alternative circulation paths, distributing traffic more evenly; Layout B's hall connects 6 nodes including living_room directly, and living_room also connects bed_room_1 and dining_room, making both hall and living_room heavy bottlenecks with fewer bypass routes",0,claude-sonnet-4-6,0.2,42
S2_p5,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"Between Layout A and Layout B, which layout avoids over-reliance on one space for movement?",B,"{""answer"": ""B"", ""criterion"": ""lower maximum unnormalized choice value"", ""layout_A_score"": 37.5, ""layout_B_score"": 25.0, ""higher_is_better"": false}","{""answer"": ""A"", ""criterion_used"": ""Layout A distributes movement across hall, dining_room, sun_room, and living_room, reducing bottleneck concentration compared to Layout B where hall and living_room dominate nearly all circulation paths""}","{""answer"": ""A"", ""criterion_used"": ""Layout A distributes movement across hall, dining_room, sun_room, and living_room, reducing bottleneck concentration compared to Layout B where hall and living_room dominate nearly all circulation paths""}",A,"Layout A distributes movement across hall, dining_room, sun_room, and living_room, reducing bottleneck concentration compared to Layout B where hall and living_room dominate nearly all circulation paths",0,claude-sonnet-4-6,0.2,42
S3_p1,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout provides better access from valid entry spaces to the rest of the layout?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path distance from valid entry (front_porch) to all other rooms""}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path distance from valid entry (front_porch) to all other rooms""}",A,Average shortest path distance from valid entry (front_porch) to all other rooms,1,claude-sonnet-4-6,0.2,42
S3_p2,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout places entries more efficiently for reaching rooms?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path length from front_porch to all rooms is lower in Layout A due to hall connecting more rooms directly""}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path length from front_porch to all rooms is lower in Layout A due to hall connecting more rooms directly""}",A,Average shortest path length from front_porch to all rooms is lower in Layout A due to hall connecting more rooms directly,1,claude-sonnet-4-6,0.2,42
S3_p3,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout provides shorter overall access from entries to spaces?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path length from valid entries (front_porch) to all rooms is lower in Layout A due to more direct connections via hall and living_room""}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path length from valid entries (front_porch) to all rooms is lower in Layout A due to more direct connections via hall and living_room""}",A,Average shortest path length from valid entries (front_porch) to all rooms is lower in Layout A due to more direct connections via hall and living_room,1,claude-sonnet-4-6,0.2,42
S3_p4,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout gives more efficient entry-to-room access?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path length from valid entry (front_porch) to all rooms""}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path length from valid entry (front_porch) to all rooms""}",A,Average shortest path length from valid entry (front_porch) to all rooms,1,claude-sonnet-4-6,0.2,42
S3_p5,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"Between Layout A and Layout B, which layout has better overall accessibility from entry points?",A,"{""answer"": ""A"", ""criterion"": ""lower average nearest-entry distance to all non-entry spaces"", ""layout_A_score"": 2.125, ""layout_B_score"": 2.142857142857143, ""higher_is_better"": false, ""layout_A_entries"": [""front_porch"", ""service_porch""], ""layout_B_entries"": [""front_porch"", ""service_porch""]}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path length from valid entry points (front_porch) to all rooms is lower in Layout A due to more direct connections via hall and living_room""}","{""answer"": ""A"", ""criterion_used"": ""Average shortest path length from valid entry points (front_porch) to all rooms is lower in Layout A due to more direct connections via hall and living_room""}",A,Average shortest path length from valid entry points (front_porch) to all rooms is lower in Layout A due to more direct connections via hall and living_room,1,claude-sonnet-4-6,0.2,42
