task_id,task_number,task_type,graph_name,run_idx,raw_answer,parsed_answer,expected_top_3,predicted_top_3,metric_accuracy,ranking_accuracy,overall_correct
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,1,"{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.5, ""living_room"": 1.625, ""service_porch"": 3.5}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.5, ""living_room"": 1.625, ""service_porch"": 3.5}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""hall"", ""dining_room""]",0.5555555555555556,1.0,0
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,2,"{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.0, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""dining_room"", ""hall""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.0, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""dining_room"", ""hall""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""dining_room"", ""hall""]",0.5555555555555556,0.3333333333333333,0
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,3,"{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 1.875, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""hall"", ""dining_room""]",0.6666666666666666,1.0,0
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,4,"{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""dining_room"", ""hall""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""dining_room"", ""hall""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""dining_room"", ""hall""]",0.5555555555555556,0.3333333333333333,0
graph_1_T4_mean_depth,4,T4_mean_depth,graph_1,5,"{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.0, ""front_porch"": 2.875, ""hall"": 2.125, ""kitchen"": 2.625, ""living_room"": 1.625, ""service_porch"": 3.625}, ""top_3_lowest_mean_depth"": [""living_room"", ""hall"", ""dining_room""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""hall"", ""dining_room""]",0.5555555555555556,1.0,0
graph_1_T5_choice,5,T5_choice,graph_1,1,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 16.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 16.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""hall"", ""dining_room""]",0.6666666666666666,1.0,0
graph_1_T5_choice,5,T5_choice,graph_1,2,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""hall"", ""dining_room""]",0.7777777777777778,1.0,0
graph_1_T5_choice,5,T5_choice,graph_1,3,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 10.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 20.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""hall"", ""dining_room""]",0.7777777777777778,1.0,0
graph_1_T5_choice,5,T5_choice,graph_1,4,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 21.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 7.0, ""front_porch"": 0.0, ""hall"": 18.0, ""kitchen"": 7.0, ""living_room"": 21.0, ""service_porch"": 0.0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""hall"", ""dining_room""]",0.7777777777777778,1.0,0
graph_1_T5_choice,5,T5_choice,graph_1,5,"{""metric_values"": {""bath_room"": 0, ""bed_room_1"": 0, ""bed_room_2"": 0, ""dining_room"": 10, ""front_porch"": 0, ""hall"": 18, ""kitchen"": 7, ""living_room"": 23, ""service_porch"": 0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0, ""bed_room_1"": 0, ""bed_room_2"": 0, ""dining_room"": 10, ""front_porch"": 0, ""hall"": 18, ""kitchen"": 7, ""living_room"": 23, ""service_porch"": 0}, ""top_3_highest_choice"": [""living_room"", ""hall"", ""dining_room""]}","[""living_room"", ""hall"", ""dining_room""]","[""living_room"", ""hall"", ""dining_room""]",0.7777777777777778,1.0,0
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,1,"{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.375, ""hall"": 1.625, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.375, ""stair"": 2.625}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.375, ""hall"": 1.625, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.375, ""stair"": 2.625}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.0,0.6666666666666666,0
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,2,"{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.125, ""hall"": 1.625, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.125, ""stair"": 2.625}, ""top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""hall_2""]}","{""metric_values"": {""bath_room"": 2.625, ""bed_room_1"": 2.625, ""bed_room_2"": 2.625, ""dining_room"": 2.125, ""hall"": 1.625, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.125, ""stair"": 2.625}, ""top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""hall_2""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""dining_room"", ""hall_2""]",0.0,0.3333333333333333,0
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,3,"{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.375, ""hall"": 1.875, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.375, ""stair"": 2.875}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.375, ""hall"": 1.875, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.375, ""stair"": 2.875}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.0,0.6666666666666666,0
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,4,"{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.375, ""hall"": 1.875, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.375, ""stair"": 2.875}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.375, ""hall"": 1.875, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.375, ""stair"": 2.875}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.0,0.6666666666666666,0
graph_2_T4_mean_depth,4,T4_mean_depth,graph_2,5,"{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.375, ""hall"": 1.875, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.375, ""stair"": 2.875}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 2.875, ""bed_room_1"": 2.875, ""bed_room_2"": 2.875, ""dining_room"": 2.375, ""hall"": 1.875, ""hall_2"": 2.125, ""kitchen"": 3.125, ""living_room"": 2.375, ""stair"": 2.875}, ""top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.0,0.6666666666666666,0
graph_2_T5_choice,5,T5_choice,graph_2,1,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 25.0, ""hall_2"": 14.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 25.0, ""hall_2"": 14.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.5555555555555556,0.6666666666666666,0
graph_2_T5_choice,5,T5_choice,graph_2,2,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 21.0, ""hall_2"": 10.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 21.0, ""hall_2"": 10.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.5555555555555556,0.6666666666666666,0
graph_2_T5_choice,5,T5_choice,graph_2,3,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 25.0, ""hall_2"": 13.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 25.0, ""hall_2"": 13.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.5555555555555556,0.6666666666666666,0
graph_2_T5_choice,5,T5_choice,graph_2,4,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 25.0, ""hall_2"": 13.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 25.0, ""hall_2"": 13.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.5555555555555556,0.6666666666666666,0
graph_2_T5_choice,5,T5_choice,graph_2,5,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 25.0, ""hall_2"": 13.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 0.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""hall"": 25.0, ""hall_2"": 13.0, ""kitchen"": 0.0, ""living_room"": 3.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""hall_2"", ""dining_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""dining_room""]",0.5555555555555556,0.6666666666666666,0
graph_3_T4_mean_depth,4,T4_mean_depth,graph_3,1,"{""metric_values"": {""bath_room"": 2.6667, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.6667, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 2.0, ""service_porch"": 3.1111, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","{""metric_values"": {""bath_room"": 2.6667, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.6667, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 2.0, ""service_porch"": 3.1111, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""bed_room_1""]",0.0,0.6666666666666666,0
graph_3_T4_mean_depth,4,T4_mean_depth,graph_3,2,"{""metric_values"": {""bath_room"": 2.6667, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.6667, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 1.8889, ""service_porch"": 3.2222, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","{""metric_values"": {""bath_room"": 2.6667, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.6667, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 1.8889, ""service_porch"": 3.2222, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""bed_room_1""]",0.0,0.6666666666666666,0
graph_3_T4_mean_depth,4,T4_mean_depth,graph_3,3,"{""metric_values"": {""bath_room"": 2.6667, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.6667, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 1.8889, ""service_porch"": 3.2222, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","{""metric_values"": {""bath_room"": 2.6667, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.6667, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 1.8889, ""service_porch"": 3.2222, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""bed_room_1""]",0.0,0.6666666666666666,0
graph_3_T4_mean_depth,4,T4_mean_depth,graph_3,4,"{""metric_values"": {""bath_room"": 2.7778, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.7778, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 1.8889, ""service_porch"": 3.2222, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","{""metric_values"": {""bath_room"": 2.7778, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.7778, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 1.8889, ""service_porch"": 3.2222, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""bed_room_1""]",0.0,0.6666666666666666,0
graph_3_T4_mean_depth,4,T4_mean_depth,graph_3,5,"{""metric_values"": {""bath_room"": 2.7778, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.7778, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 1.8889, ""service_porch"": 3.2222, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","{""metric_values"": {""bath_room"": 2.7778, ""bed_room_1"": 2.2222, ""bed_room_2"": 2.7778, ""dining_room"": 2.4444, ""front_porch"": 3.1111, ""hall"": 1.7778, ""kitchen"": 2.2222, ""living_room"": 1.8889, ""service_porch"": 3.2222, ""stair"": 2.7778}, ""top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""bed_room_1""]",0.0,0.6666666666666666,0
graph_3_T5_choice,5,T5_choice,graph_3,1,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 1.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""front_porch"": 0.0, ""hall"": 25.0, ""kitchen"": 7.0, ""living_room"": 10.0, ""service_porch"": 0.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 1.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""front_porch"": 0.0, ""hall"": 25.0, ""kitchen"": 7.0, ""living_room"": 10.0, ""service_porch"": 0.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",0.6,1.0,0
graph_3_T5_choice,5,T5_choice,graph_3,2,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 1.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""front_porch"": 0.0, ""hall"": 25.0, ""kitchen"": 7.0, ""living_room"": 10.0, ""service_porch"": 0.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 1.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""front_porch"": 0.0, ""hall"": 25.0, ""kitchen"": 7.0, ""living_room"": 10.0, ""service_porch"": 0.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",0.6,1.0,0
graph_3_T5_choice,5,T5_choice,graph_3,3,"{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 1.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""front_porch"": 0.0, ""hall"": 25.0, ""kitchen"": 7.0, ""living_room"": 10.0, ""service_porch"": 0.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","{""metric_values"": {""bath_room"": 0.0, ""bed_room_1"": 1.0, ""bed_room_2"": 0.0, ""dining_room"": 3.0, ""front_porch"": 0.0, ""hall"": 25.0, ""kitchen"": 7.0, ""living_room"": 10.0, ""service_porch"": 0.0, ""stair"": 0.0}, ""top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",0.6,1.0,0
