condition,task_family,task_id,task_type,graph_name,run_idx,raw_answer,parsed_answer,expected_answer,normalized_model_answer,correct
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L1,L1_direct_adjacency,graph_1,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,1,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,2,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,3,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,4,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L2,L2_degree_comparison,graph_1,5,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","""living_room""",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_1_L3,L3_two_step_reachability,graph_1,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L1,L1_direct_adjacency,graph_2,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",1
kg,local,graph_2_L2,L2_degree_comparison,graph_2,1,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","""tie""",1
kg,local,graph_2_L2,L2_degree_comparison,graph_2,2,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","""tie""",1
kg,local,graph_2_L2,L2_degree_comparison,graph_2,3,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","""tie""",1
kg,local,graph_2_L2,L2_degree_comparison,graph_2,4,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","""tie""",1
kg,local,graph_2_L2,L2_degree_comparison,graph_2,5,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","""tie""",1
kg,local,graph_2_L3,L3_two_step_reachability,graph_2,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_2_L3,L3_two_step_reachability,graph_2,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_2_L3,L3_two_step_reachability,graph_2,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_2_L3,L3_two_step_reachability,graph_2,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_2_L3,L3_two_step_reachability,graph_2,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_3_L1,L1_direct_adjacency,graph_3,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_3_L1,L1_direct_adjacency,graph_3,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_3_L1,L1_direct_adjacency,graph_3,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_3_L1,L1_direct_adjacency,graph_3,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_3_L1,L1_direct_adjacency,graph_3,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",1
kg,local,graph_3_L2,L2_degree_comparison,graph_3,1,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","""living_room""",1
kg,local,graph_3_L2,L2_degree_comparison,graph_3,2,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","""living_room""",1
kg,local,graph_3_L2,L2_degree_comparison,graph_3,3,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","""living_room""",1
kg,local,graph_3_L2,L2_degree_comparison,graph_3,4,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","""living_room""",1
kg,local,graph_3_L2,L2_degree_comparison,graph_3,5,"{""answer"": ""living_room""}","{""answer"": ""living_room""}","{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","""living_room""",1
kg,local,graph_3_L3,L3_two_step_reachability,graph_3,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1
