condition,task_family,task_id,task_type,graph_name,run_idx,raw_answer,parsed_answer,expected_answer,normalized_model_answer,correct
kg,local,graph_3_L3,L3_two_step_reachability,graph_3,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1
kg,local,graph_3_L3,L3_two_step_reachability,graph_3,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1
kg,local,graph_3_L3,L3_two_step_reachability,graph_3,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1
kg,local,graph_3_L3,L3_two_step_reachability,graph_3,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",1
kg,local,graph_4_L1,L1_direct_adjacency,graph_4,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1
kg,local,graph_4_L1,L1_direct_adjacency,graph_4,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1
kg,local,graph_4_L1,L1_direct_adjacency,graph_4,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1
kg,local,graph_4_L1,L1_direct_adjacency,graph_4,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1
kg,local,graph_4_L1,L1_direct_adjacency,graph_4,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",1
kg,local,graph_4_L2,L2_degree_comparison,graph_4,1,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","""tie""",1
kg,local,graph_4_L2,L2_degree_comparison,graph_4,2,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","""tie""",1
kg,local,graph_4_L2,L2_degree_comparison,graph_4,3,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","""tie""",1
kg,local,graph_4_L2,L2_degree_comparison,graph_4,4,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","""tie""",1
kg,local,graph_4_L2,L2_degree_comparison,graph_4,5,"{""answer"": ""tie""}","{""answer"": ""tie""}","{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","""tie""",1
kg,local,graph_4_L3,L3_two_step_reachability,graph_4,1,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]",1
kg,local,graph_4_L3,L3_two_step_reachability,graph_4,2,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]",1
kg,local,graph_4_L3,L3_two_step_reachability,graph_4,3,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]",1
kg,local,graph_4_L3,L3_two_step_reachability,graph_4,4,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]",1
kg,local,graph_4_L3,L3_two_step_reachability,graph_4,5,"{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","{""answer"": [""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]}","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]","[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]",1
kg,local,graph_5_L1,L1_direct_adjacency,graph_5,1,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]",1
kg,local,graph_5_L1,L1_direct_adjacency,graph_5,2,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]",1
kg,local,graph_5_L1,L1_direct_adjacency,graph_5,3,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]",1
kg,local,graph_5_L1,L1_direct_adjacency,graph_5,4,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]",1
kg,local,graph_5_L1,L1_direct_adjacency,graph_5,5,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]",1
kg,local,graph_5_L2,L2_degree_comparison,graph_5,1,"{""answer"": ""living_room_1""}","{""answer"": ""living_room_1""}","{""winner"": ""living_room_1"", ""degree_a"": 3, ""degree_b"": 2}","""living_room_1""",1
kg,local,graph_5_L2,L2_degree_comparison,graph_5,2,"{""answer"": ""living_room_1""}","{""answer"": ""living_room_1""}","{""winner"": ""living_room_1"", ""degree_a"": 3, ""degree_b"": 2}","""living_room_1""",1
kg,local,graph_5_L2,L2_degree_comparison,graph_5,3,"{""answer"": ""living_room_1""}","{""answer"": ""living_room_1""}","{""winner"": ""living_room_1"", ""degree_a"": 3, ""degree_b"": 2}","""living_room_1""",1
kg,local,graph_5_L2,L2_degree_comparison,graph_5,4,"{""answer"": ""living_room_1""}","{""answer"": ""living_room_1""}","{""winner"": ""living_room_1"", ""degree_a"": 3, ""degree_b"": 2}","""living_room_1""",1
kg,local,graph_5_L2,L2_degree_comparison,graph_5,5,"{""answer"": ""living_room_1""}","{""answer"": ""living_room_1""}","{""winner"": ""living_room_1"", ""degree_a"": 3, ""degree_b"": 2}","""living_room_1""",1
kg,local,graph_5_L3,L3_two_step_reachability,graph_5,1,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]",1
kg,local,graph_5_L3,L3_two_step_reachability,graph_5,2,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]",1
kg,local,graph_5_L3,L3_two_step_reachability,graph_5,3,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]",1
kg,local,graph_5_L3,L3_two_step_reachability,graph_5,4,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]",1
kg,local,graph_5_L3,L3_two_step_reachability,graph_5,5,"{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","{""answer"": [""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]}","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]","[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]",1
