task_id,task_type,pair_id,graph_A,graph_B,run_idx,raw_answer,parsed_answer,expected_answer,predicted_answer,criterion_used,overall_correct
S1_p1,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""B"", ""criterion_used"": ""Average shortest path distance from shared/guest-facing spaces (living_room, dining_room, hall) to private spaces (bedrooms, bath_room, sleeping_porch) — Layout B scores 2.25 vs Layout A's 2.0, indicating greater separation and better privacy protection""}","{""answer"": ""B"", ""criterion_used"": ""Average shortest path distance from shared/guest-facing spaces (living_room, dining_room, hall) to private spaces (bedrooms, bath_room, sleeping_porch) — Layout B scores 2.25 vs Layout A's 2.0, indicating greater separation and better privacy protection""}",B,B,"Average shortest path distance from shared/guest-facing spaces (living_room, dining_room, hall) to private spaces (bedrooms, bath_room, sleeping_porch) — Layout B scores 2.25 vs Layout A's 2.0, indicating greater separation and better privacy protection",1
S1_p2,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing spaces (hall, living_room, dining_room) traversed on shortest paths from private rooms to valid entries — Layout A requires passing through 2 shared spaces vs. Layout B's 3, indicating private rooms in A have less exposure to shared circulation""}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing spaces (hall, living_room, dining_room) traversed on shortest paths from private rooms to valid entries — Layout A requires passing through 2 shared spaces vs. Layout B's 3, indicating private rooms in A have less exposure to shared circulation""}",B,A,"Fewer shared/guest-facing spaces (hall, living_room, dining_room) traversed on shortest paths from private rooms to valid entries — Layout A requires passing through 2 shared spaces vs. Layout B's 3, indicating private rooms in A have less exposure to shared circulation",0
S1_p3,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout A averages 2.5 vs Layout B's 2.0 per path, but from the primary front_porch entry Layout A requires only 2 shared-space passes vs Layout B's 3, giving better private-space protection from the main entry.""}","{""answer"": ""A"", ""criterion_used"": ""Fewer shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout A averages 2.5 vs Layout B's 2.0 per path, but from the primary front_porch entry Layout A requires only 2 shared-space passes vs Layout B's 3, giving better private-space protection from the main entry.""}",B,A,"Fewer shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout A averages 2.5 vs Layout B's 2.0 per path, but from the primary front_porch entry Layout A requires only 2 shared-space passes vs Layout B's 3, giving better private-space protection from the main entry.",0
S1_p4,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""B"", ""criterion_used"": ""Greater number of shared/guest-facing spaces (living_room, dining_room, hall) that must be traversed from the valid entry (front_porch) before reaching any private space, indicating deeper separation of private zones from guest-facing paths""}","{""answer"": ""B"", ""criterion_used"": ""Greater number of shared/guest-facing spaces (living_room, dining_room, hall) that must be traversed from the valid entry (front_porch) before reaching any private space, indicating deeper separation of private zones from guest-facing paths""}",B,B,"Greater number of shared/guest-facing spaces (living_room, dining_room, hall) that must be traversed from the valid entry (front_porch) before reaching any private space, indicating deeper separation of private zones from guest-facing paths",1
S1_p5,S1_private_space_exposure,S1_pair,graph_1,graph_4,1,"{""answer"": ""B"", ""criterion_used"": ""Average number of shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout B (2.0) is lower than Layout A (2.5)""}","{""answer"": ""B"", ""criterion_used"": ""Average number of shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout B (2.0) is lower than Layout A (2.5)""}",B,B,"Average number of shared/guest-facing spaces (living_room, dining_room, hall) traversed on shortest paths from valid entries to private spaces — Layout B (2.0) is lower than Layout A (2.5)",1
S2_p1,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""A"", ""criterion_used"": ""Lower peak betweenness centrality on hall and more distributed choice values across multiple nodes, reducing single-node bottleneck concentration""}","{""answer"": ""A"", ""criterion_used"": ""Lower peak betweenness centrality on hall and more distributed choice values across multiple nodes, reducing single-node bottleneck concentration""}",B,A,"Lower peak betweenness centrality on hall and more distributed choice values across multiple nodes, reducing single-node bottleneck concentration",0
S2_p2,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""B"", ""criterion_used"": ""Lower maximum betweenness centrality (hall: 25.0 vs 37.5), indicating weaker bottleneck effect""}","{""answer"": ""B"", ""criterion_used"": ""Lower maximum betweenness centrality (hall: 25.0 vs 37.5), indicating weaker bottleneck effect""}",B,B,"Lower maximum betweenness centrality (hall: 25.0 vs 37.5), indicating weaker bottleneck effect",1
S2_p3,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""A"", ""criterion_used"": ""Normalized betweenness centrality: Layout A distributes movement across more nodes (hall, kitchen, dining_room, living_room, bedrooms, sun_room) with lower peak concentration, indicating a weaker bottleneck effect than Layout B""}","{""answer"": ""A"", ""criterion_used"": ""Normalized betweenness centrality: Layout A distributes movement across more nodes (hall, kitchen, dining_room, living_room, bedrooms, sun_room) with lower peak concentration, indicating a weaker bottleneck effect than Layout B""}",B,A,"Normalized betweenness centrality: Layout A distributes movement across more nodes (hall, kitchen, dining_room, living_room, bedrooms, sun_room) with lower peak concentration, indicating a weaker bottleneck effect than Layout B",0
S2_p4,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""A"", ""criterion_used"": ""Lower maximum normalized betweenness centrality (hall: 0.682 vs 0.694) and more distributed circulation across multiple nodes""}","{""answer"": ""A"", ""criterion_used"": ""Lower maximum normalized betweenness centrality (hall: 0.682 vs 0.694) and more distributed circulation across multiple nodes""}",B,A,Lower maximum normalized betweenness centrality (hall: 0.682 vs 0.694) and more distributed circulation across multiple nodes,0
S2_p5,S2_bottleneck_reduction,S2_pair,graph_4,graph_3,1,"{""answer"": ""B"", ""criterion_used"": ""lower peak betweenness centrality (weaker bottleneck through hall)""}","{""answer"": ""B"", ""criterion_used"": ""lower peak betweenness centrality (weaker bottleneck through hall)""}",B,B,lower peak betweenness centrality (weaker bottleneck through hall),1
S3_p1,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from front_porch to all other rooms (2.75 vs 2.86), driven by direct living_room–bed_room_1 and hall–kitchen connections in Layout A""}","{""answer"": ""A"", ""criterion_used"": ""lower average shortest-path distance from front_porch to all other rooms (2.75 vs 2.86), driven by direct living_room–bed_room_1 and hall–kitchen connections in Layout A""}",A,A,"lower average shortest-path distance from front_porch to all other rooms (2.75 vs 2.86), driven by direct living_room–bed_room_1 and hall–kitchen connections in Layout A",1
S3_p2,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""Lower mean shortest-path distance from front_porch (entry) to all other rooms (A: 2.56 vs B: 2.625)""}","{""answer"": ""A"", ""criterion_used"": ""Lower mean shortest-path distance from front_porch (entry) to all other rooms (A: 2.56 vs B: 2.625)""}",A,A,Lower mean shortest-path distance from front_porch (entry) to all other rooms (A: 2.56 vs B: 2.625),1
S3_p3,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""Lower average shortest-path distance from front_porch entry to all other spaces (avg 2.75 vs 2.86), driven by Layout A's direct living_room–bed_room_1 connection""}","{""answer"": ""A"", ""criterion_used"": ""Lower average shortest-path distance from front_porch entry to all other spaces (avg 2.75 vs 2.86), driven by Layout A's direct living_room–bed_room_1 connection""}",A,A,"Lower average shortest-path distance from front_porch entry to all other spaces (avg 2.75 vs 2.86), driven by Layout A's direct living_room–bed_room_1 connection",1
S3_p4,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""Lower average shortest-path distance from front_porch to all rooms (2.75 vs 2.86), with Layout A having a direct living_room→bed_room_1 shortcut""}","{""answer"": ""A"", ""criterion_used"": ""Lower average shortest-path distance from front_porch to all rooms (2.75 vs 2.86), with Layout A having a direct living_room→bed_room_1 shortcut""}",A,A,"Lower average shortest-path distance from front_porch to all rooms (2.75 vs 2.86), with Layout A having a direct living_room→bed_room_1 shortcut",1
S3_p5,S3_entry_access_efficiency,S3_pair,graph_3,graph_1,1,"{""answer"": ""A"", ""criterion_used"": ""Lower average mean depth from entry points (front_porch and service_porch): Layout A averages 2.61 vs Layout B's 3.13""}","{""answer"": ""A"", ""criterion_used"": ""Lower average mean depth from entry points (front_porch and service_porch): Layout A averages 2.61 vs Layout B's 3.13""}",A,A,Lower average mean depth from entry points (front_porch and service_porch): Layout A averages 2.61 vs Layout B's 3.13,1
