task_id,task_type,graph_name,run_idx,question,expected_top_3,raw_answer,parsed_answer,predicted_top_3,ranking_accuracy,ranking_num_correct,ranking_total_positions,ranking_correct_positions,overall_correct,model,temperature
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,1,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,2,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,3,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,4,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T6,Task_6_counterfactual_mean_depth,graph_1,5,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,1,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,2,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,3,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,4,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_1_T7,Task_7_counterfactual_choice,graph_1,5,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""dining_room""]}","[""hall"", ""living_room"", ""dining_room""]","[""hall"", ""living_room"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,1,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,2,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,3,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,4,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T6,Task_6_counterfactual_mean_depth,graph_2,5,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T7,Task_7_counterfactual_choice,graph_2,1,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T7,Task_7_counterfactual_choice,graph_2,2,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T7,Task_7_counterfactual_choice,graph_2,3,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T7,Task_7_counterfactual_choice,graph_2,4,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_2_T7,Task_7_counterfactual_choice,graph_2,5,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""hall_2"", ""living_room""]","{""changed_top_3_highest_choice"": [""hall"", ""hall_2"", ""living_room""]}","[""hall"", ""hall_2"", ""living_room""]","[""hall"", ""hall_2"", ""living_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:hall_2"", ""pos_3:living_room""]",1,claude-sonnet-4-6,0.2
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,1,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,2,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,3,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,4,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""bed_room_1""]}","[""hall"", ""living_room"", ""bed_room_1""]","[""hall"", ""living_room"", ""bed_room_1""]",0.6666666666666666,2,3,"[""pos_1:hall"", ""pos_2:living_room""]",0,claude-sonnet-4-6,0.2
graph_3_T6,Task_6_counterfactual_mean_depth,graph_3,5,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_3_T7,Task_7_counterfactual_choice,graph_3,1,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_3_T7,Task_7_counterfactual_choice,graph_3,2,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_3_T7,Task_7_counterfactual_choice,graph_3,3,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_3_T7,Task_7_counterfactual_choice,graph_3,4,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_3_T7,Task_7_counterfactual_choice,graph_3,5,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""living_room"", ""kitchen""]","{""changed_top_3_highest_choice"": [""hall"", ""living_room"", ""kitchen""]}","[""hall"", ""living_room"", ""kitchen""]","[""hall"", ""living_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:living_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,1,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""dining_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:dining_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,2,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""dining_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:dining_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,3,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""dining_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:dining_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,4,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""dining_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:dining_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_4_T6,Task_6_counterfactual_mean_depth,graph_4,5,"After adding a new bedroom to hall, return top 3 lowest mean depth spaces.","[""hall"", ""dining_room"", ""kitchen""]","{""changed_top_3_lowest_mean_depth"": [""hall"", ""dining_room"", ""kitchen""]}","[""hall"", ""dining_room"", ""kitchen""]","[""hall"", ""dining_room"", ""kitchen""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:dining_room"", ""pos_3:kitchen""]",1,claude-sonnet-4-6,0.2
graph_4_T7,Task_7_counterfactual_choice,graph_4,1,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""kitchen"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:kitchen"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_4_T7,Task_7_counterfactual_choice,graph_4,2,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""kitchen"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:kitchen"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_4_T7,Task_7_counterfactual_choice,graph_4,3,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""kitchen"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:kitchen"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_4_T7,Task_7_counterfactual_choice,graph_4,4,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""kitchen"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:kitchen"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_4_T7,Task_7_counterfactual_choice,graph_4,5,"After adding a new bedroom to hall, return top 3 highest choice spaces.","[""hall"", ""kitchen"", ""dining_room""]","{""changed_top_3_highest_choice"": [""hall"", ""kitchen"", ""dining_room""]}","[""hall"", ""kitchen"", ""dining_room""]","[""hall"", ""kitchen"", ""dining_room""]",1.0,3,3,"[""pos_1:hall"", ""pos_2:kitchen"", ""pos_3:dining_room""]",1,claude-sonnet-4-6,0.2
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,1,"After adding a new bedroom to hall_1, return top 3 lowest mean depth spaces.","[""stair"", ""living_room_1"", ""living_room_2""]","{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:stair"", ""pos_2:living_room_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,2,"After adding a new bedroom to hall_1, return top 3 lowest mean depth spaces.","[""stair"", ""living_room_1"", ""living_room_2""]","{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:stair"", ""pos_2:living_room_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,3,"After adding a new bedroom to hall_1, return top 3 lowest mean depth spaces.","[""stair"", ""living_room_1"", ""living_room_2""]","{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:stair"", ""pos_2:living_room_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,4,"After adding a new bedroom to hall_1, return top 3 lowest mean depth spaces.","[""stair"", ""living_room_1"", ""living_room_2""]","{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:stair"", ""pos_2:living_room_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T6,Task_6_counterfactual_mean_depth,graph_5,5,"After adding a new bedroom to hall_1, return top 3 lowest mean depth spaces.","[""stair"", ""living_room_1"", ""living_room_2""]","{""changed_top_3_lowest_mean_depth"": [""stair"", ""living_room_1"", ""living_room_2""]}","[""stair"", ""living_room_1"", ""living_room_2""]","[""stair"", ""living_room_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:stair"", ""pos_2:living_room_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T7,Task_7_counterfactual_choice,graph_5,1,"After adding a new bedroom to hall_1, return top 3 highest choice spaces.","[""living_room_1"", ""hall_1"", ""living_room_2""]","{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:living_room_1"", ""pos_2:hall_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T7,Task_7_counterfactual_choice,graph_5,2,"After adding a new bedroom to hall_1, return top 3 highest choice spaces.","[""living_room_1"", ""hall_1"", ""living_room_2""]","{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:living_room_1"", ""pos_2:hall_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T7,Task_7_counterfactual_choice,graph_5,3,"After adding a new bedroom to hall_1, return top 3 highest choice spaces.","[""living_room_1"", ""hall_1"", ""living_room_2""]","{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:living_room_1"", ""pos_2:hall_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T7,Task_7_counterfactual_choice,graph_5,4,"After adding a new bedroom to hall_1, return top 3 highest choice spaces.","[""living_room_1"", ""hall_1"", ""living_room_2""]","{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:living_room_1"", ""pos_2:hall_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
graph_5_T7,Task_7_counterfactual_choice,graph_5,5,"After adding a new bedroom to hall_1, return top 3 highest choice spaces.","[""living_room_1"", ""hall_1"", ""living_room_2""]","{""changed_top_3_highest_choice"": [""living_room_1"", ""hall_1"", ""living_room_2""]}","[""living_room_1"", ""hall_1"", ""living_room_2""]","[""living_room_1"", ""hall_1"", ""living_room_2""]",1.0,3,3,"[""pos_1:living_room_1"", ""pos_2:hall_1"", ""pos_3:living_room_2""]",1,claude-sonnet-4-6,0.2
